"Name","Nationality","Team","Position","Age","Age Ranking","Appearences","Appearences Ranking","Lineups","Lineups Ranking","Minutes","Minutes Ranking","Shots Total","Shots Total Ranking","Shots on Target","Shots on Target Ranking","Goals","Goals Ranking","Assists","Assists Ranking","Passes Total","Passes Total Ranking","Key Passes","Key Passes Ranking","Tackles","Tackles Ranking","Blocks","Blocks Ranking","Interceptions","Interceptions Ranking","Duels Total","Duels Total Ranking","Duels Won","Duels Won Ranking","Attempted Dribbles","Attempted Dribbles Ranking","Successful Dribbles","Successful Dribbles Ranking","Fouls Drawn","Fouls Drawn Ranking","Yellow Cards","Yellow Cards Ranking","Second Yellow Cards","Second Yellow Cards Ranking","Red Cards","Red Cards Ranking","Penalties Scored","Penalties Scored Ranking","Penalties Missed","Penalties Missed Ranking","Participations in Goals","Participations in Goals Ranking","Minutes per Goal","Minutes per Goal Ranking","Minutes per Participation","Minutes per Participation Ranking","Minutes per Assists","Minutes per Assists Ranking","Penalty Conversion","Penalty Conversion Ranking","On Target Conversion per Total Shots","On Target Conversion per Total Shots Ranking","Shots per Goal","Shots per Goal Ranking","Goal Conversion per Total Shots","Goal Conversion per Total Shots Ranking","Goal Conversion per Shots on Target","Goal Conversion per Shots on Target Ranking","Pencertage of Key Passes per Total Passes","Pencertage of Key Passes per Total Passes Ranking","Key Passes per Assist","Key Passes per Assist Ranking","Total Passes per Assist","Total Passes per Assist Ranking","Percentage of Successful Dribbles","Percentage of Successful Dribbles Ranking","Percentage of Duels Won","Percentage of Duels Won Ranking","Minutes per Yellow Card","Minutes per Yellow Card Ranking","Minutes per Red Card","Minutes per Red Card Ranking"
"Lorhan","Brazil","Chapecoense-sc","Midfielder",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Ruan","Brazil","Chapecoense-sc","Attacker",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Pedrinho","Brazil","Internacional","Midfielder",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Ighor Gabryel","Brazil","America Mineiro","Defender",18,918,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Lucas","Brazil","Atletico Goianiense","Defender",0,924,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Ze Henrique","Brazil","Atletico Goianiense","Midfielder",0,924,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Gabriel","Brazil","Atletico Goianiense","Defender",0,924,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Guilherme","Brazil","RB Bragantino","Defender",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Kevin","Brazil","Atletico Goianiense","Attacker",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Guilherme","Brazil","Cuiaba","Attacker",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Moraes","Brazil","Santos","Defender",26,473,13,410,4,458,456,458,6,330,0,491,0,289,0,273,214,407,2,449,9,357,1,321,15,187,72,378,37,360,14,253,8,259,8,359,2,279,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,0,491,,289,0,289,,491,0.9345794392523363,465,,273,,273,57.14285714285714,351,51.388888888888886,297,228,399,,74
"João Paulo","Brazil","America Mineiro","Defender",36,74,17,323,9,336,940,326,7,304,2,314,1,172,1,140,382,308,18,143,16,257,2,250,10,265,82,353,34,380,8,350,1,506,7,378,0,515,0,27,0,49,0,47,0,21,2,194,940,82,470,156,940,105,,58,28.57142857142857,396,7,146,14.285714285714285,129,50,48,4.712041884816754,127,18,41,382,106,12.5,578,41.46341463414634,545,,515,,74
"Gustavo Blanco Petersen Macedo","Brazil","Fortaleza EC","Midfielder",28,355,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Anderson Vieira Martins","Brazil","Bahia","Defender",35,103,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Lucas Silva Fonseca","Brazil","Bahia","Defender",37,44,3,606,3,498,259,539,0,564,0,491,0,289,0,273,153,467,0,565,0,613,4,158,3,423,26,510,16,483,1,541,1,506,3,490,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,100,1,61.53846153846154,98,,515,,74
"Márcio Azevedo","Brazil","Atletico Paranaense","Defender",37,44,10,463,4,458,386,482,0,564,0,491,0,289,0,273,189,430,7,292,3,493,0,414,7,319,46,452,22,449,4,444,3,406,11,297,1,393,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,3.7037037037037033,199,,273,,273,75,136,47.82608695652174,392,386,240,,74
"Jonathan","Brazil","Atletico Paranaense","Defender",35,103,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Paulo Miranda","Brazil","Gremio","Defender",35,103,5,551,4,458,364,494,1,504,0,491,0,289,0,273,208,410,1,500,5,441,0,414,4,393,37,478,20,461,2,496,1,506,1,575,1,393,0,27,1,3,0,47,0,21,0,373,,289,,373,,273,,58,0,491,,289,0,289,,491,0.4807692307692308,516,,273,,273,50,426,54.054054054054056,221,364,262,364,69
"Leonardo Gomes","Brazil","Gremio","Defender",27,410,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Wagner Ferreira dos Santos","Brazil","Juventude","Midfielder",37,44,12,425,7,386,510,440,5,358,2,314,2,114,0,273,259,379,3,414,2,532,1,321,5,362,44,457,15,497,11,297,6,306,6,397,2,279,0,27,0,49,0,47,0,21,2,194,255,230,255,254,,273,,58,40,285,2.5,273,40,15,100,2,1.1583011583011582,441,,273,,273,54.54545454545454,385,34.090909090909086,630,255,370,,74
"Luisão","Brazil","America Mineiro","Defender",22,773,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Felipe Santana","Brazil","Chapecoense-sc","Defender",37,44,10,463,10,322,900,335,10,247,0,491,0,289,0,273,316,345,0,565,10,338,9,60,21,127,82,353,45,331,1,541,0,580,7,378,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,0,491,,289,0,289,,491,0,565,,273,,273,0,580,54.87804878048781,208,,515,,74
"Emerson","Brazil","Juventude","Defender",38,19,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Vitor Mendes","Brazil","Juventude","Defender",24,608,34,28,34,16,3058,18,17,139,6,160,2,114,0,273,1569,18,4,373,26,161,33,2,39,42,257,77,144,52,4,444,3,406,27,138,10,5,0,27,0,49,0,47,0,21,2,194,1529,40,1529,29,,273,,58,35.294117647058826,346,8.5,111,11.76470588235294,169,33.33333333333333,124,0.25493945188017847,545,,273,,273,75,136,56.03112840466926,176,305.8,321,,74
"Gustavo Brinquedo","Brazil","Bahia","Attacker",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Derick","Brazil","Santos","Defender",21,841,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Pop","Brazil","Cuiaba","Attacker",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Cesar","Brazil","Bahia","Goalkeeper",18,918,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"João Lucas Pacheco Pires","Brazil","Atletico Goianiense","Defender",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Vitor Hugo","Brazil","America Mineiro","Defender",21,841,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Júlio César","Brazil","RB Bragantino","Goalkeeper",38,19,4,578,4,458,360,497,0,564,0,491,0,289,0,273,126,492,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,1,393,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,,691,360,266,,74
"Jailson Marcelino dos Santos","Brazil","Palmeiras","Goalkeeper",41,2,14,386,13,268,1191,271,0,564,0,491,0,289,0,273,344,329,1,500,1,560,0,414,0,569,9,602,9,548,0,605,0,580,4,453,3,181,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0.29069767441860467,539,,273,,273,,605,100,1,397,233,,74
"Márcio Rodrigues Araújo","Brazil","Sport Recife","Midfielder",38,19,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Marcelo Boeck","Brazil","Fortaleza EC","Goalkeeper",38,19,19,292,18,202,1664,194,0,564,0,491,0,289,0,273,465,265,0,565,1,560,0,414,1,510,9,602,6,583,0,605,0,580,2,530,1,393,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,0,565,,273,,273,,605,66.66666666666666,51,1664,14,,74
"Diguinho","Brazil","Fortaleza EC","Defender",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Carlinhos","Brazil","Fortaleza EC","Defender",36,74,3,606,2,532,178,576,2,453,2,314,0,289,0,273,56,581,2,449,0,613,0,414,2,466,13,577,4,603,2,496,1,506,2,530,1,393,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,100,1,,289,0,289,0,289,3.571428571428571,228,,273,,273,50,426,30.76923076923077,647,178,441,,74
"Maicon Thiago Pereira de Souza","Brazil","Gremio","Midfielder",37,44,4,578,1,573,87,630,0,564,0,491,0,289,0,273,94,525,2,449,1,560,0,414,0,569,6,627,3,619,0,605,0,580,1,575,2,279,0,27,1,3,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,2.127659574468085,347,,273,,273,,605,50,326,43.5,508,87,72
"William Fernando da Silva","Brazil","Sao Paulo","Midfielder",36,74,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Luan Silva","Brazil","Palmeiras","Attacker",23,686,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Alexandre Melo","Brazil","Cuiaba","Defender",24,608,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Paulo Filho","Brazil","Ceara","Goalkeeper",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Alysson","Brazil","Sport Recife","Midfielder",18,918,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Vitão","Brazil","Ceara","Defender",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Samuel","Brazil","Fortaleza EC","Midfielder",18,918,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Mateus","Brazil","Sport Recife","Attacker",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Túlio Galindo Bandeira de Melo","Brazil","Sport Recife","Goalkeeper",22,773,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Rodrigo","Brazil","Sport Recife","Midfielder",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"João Vitor","Brazil","Sport Recife","Attacker",20,877,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Denilson","Brazil","Ceara","Attacker",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Café","Brazil","Ceara","Defender",19,908,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Miranda","Brazil","Sao Paulo","Defender",38,19,28,132,28,64,2424,68,5,358,2,314,0,289,1,140,1649,10,4,373,39,74,10,54,15,187,232,100,132,74,12,281,9,243,24,160,7,24,0,27,0,49,0,47,0,21,1,259,,289,2424,11,2424,15,,58,40,285,,289,0,289,0,289,0.2425712553062462,549,4,228,1649,3,75,136,56.896551724137936,159,346.2857142857143,282,,74
"Dani Alves","Brazil","Sao Paulo","Defender",40,4,6,536,5,439,494,443,2,453,0,491,0,289,0,273,318,343,9,256,10,338,2,250,5,362,53,432,23,441,7,373,3,406,5,425,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,0,491,,289,0,289,,491,2.8301886792452833,280,,273,,273,42.857142857142854,505,43.39622641509434,498,,515,,74
"William Matheus","Brazil","Juventude","Defender",33,160,32,61,31,41,2835,34,7,304,1,391,1,172,1,140,1203,49,10,241,51,36,9,60,45,23,262,72,142,57,24,175,12,195,28,134,9,9,0,27,0,49,0,47,0,21,2,194,2835,8,1417.5,38,2835,11,,58,14.285714285714285,481,7,146,14.285714285714285,129,100,2,0.8312551953449709,476,10,118,1203,14,50,426,54.19847328244275,217,315,312,,74
"Geuvânio","Brazil","Chapecoense-sc","Attacker",31,232,27,150,7,386,709,385,11,228,4,226,3,70,1,140,234,396,10,241,8,373,1,321,7,319,124,274,59,276,35,118,25,83,23,171,3,181,0,27,1,3,0,47,0,21,4,108,236.33333333333334,237,177.25,309,709,143,,58,36.36363636363637,333,3.6666666666666665,249,27.27272727272727,38,75,28,4.273504273504273,164,10,118,234,157,71.42857142857143,172,47.58064516129033,400,236.33333333333334,392,709,61
"Hernanes","Brazil","Sport Recife","Midfielder",37,44,17,323,15,242,1160,275,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,6,53,1,3,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,165.71428571428572,450,1160,43
"Anderson","Brazil","Bahia","Goalkeeper",38,19,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
"Rodriguinho","Brazil","Bahia","Midfielder",35,103,34,28,24,102,1904,140,34,44,12,66,4,46,1,140,620,195,24,95,16,257,0,414,10,265,244,87,94,181,37,106,24,93,36,88,2,279,0,27,0,49,1,22,1,4,5,70,476,163,380.8,191,1904,37,50,41,35.294117647058826,346,8.5,111,11.76470588235294,169,33.33333333333333,124,3.870967741935484,192,24,17,620,59,64.86486486486487,260,38.52459016393443,586,952,52,,74
"Thiago Neves","Brazil","Sport Recife","Midfielder",36,74,14,386,9,336,801,359,10,247,5,192,1,172,0,273,299,354,11,227,3,493,0,414,4,393,63,408,27,421,12,281,9,243,14,260,1,393,1,3,0,49,1,22,0,21,1,259,801,106,801,94,,273,100,1,50,150,10,81,10,197,20,222,3.678929765886288,207,,273,,273,75,136,42.857142857142854,511,400.5,229,801,57
"Frederico Chaves Guedes","Brazil","Fluminense","Attacker",39,9,24,191,22,137,1682,190,27,64,15,44,5,32,3,38,444,276,18,143,7,401,3,194,4,393,224,112,99,158,19,209,10,222,36,88,7,24,1,3,0,49,3,4,0,21,8,30,336.4,202,210.25,286,560.6666666666666,172,100,1,55.55555555555556,114,5.4,199,18.51851851851852,89,33.33333333333333,124,4.054054054054054,180,6,186,148,205,52.63157894736842,412,44.19642857142857,486,210.25,416,1682,29
"L. González","Argentina","Atletico Paranaense","Midfielder",40,4,0,717,0,623,0,709,0,564,0,491,0,289,0,273,0,705,0,565,0,613,0,414,0,569,0,691,0,683,0,605,0,580,0,629,0,515,0,27,0,49,0,47,0,21,0,373,,289,,373,,273,,58,,564,,289,,564,,491,,705,,273,,273,,605,,691,,515,,74
